2025-04-20 16:51:22,437 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FRSCRIPT.TTF', name='French Script MT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,437 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\CALIST.TTF', name='Calisto MT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,438 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\constan.ttf', name='Constantia', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,438 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BOD_BLAR.TTF', name='Bodoni MT', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.24
2025-04-20 16:51:22,438 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\PERTIBD.TTF', name='Perpetua Titling MT', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,438 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Candaral.ttf', name='Candara', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,438 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\comici.ttf', name='Comic Sans MS', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,439 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ONYX.TTF', name='Onyx', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,439 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\georgia.ttf', name='Georgia', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,439 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ERASLGHT.TTF', name='Eras Light ITC', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,439 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\malgunsl.ttf', name='Malgun Gothic', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.43
2025-04-20 16:51:22,439 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguisbi.ttf', name='Segoe UI', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.145
2025-04-20 16:51:22,440 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MISTRAL.TTF', name='Mistral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,440 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\HARLOWSI.TTF', name='Harlow Solid Italic', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,440 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\PAPYRUS.TTF', name='Papyrus', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,440 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\marlett.ttf', name='Marlett', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.24
2025-04-20 16:51:22,440 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FORTE.TTF', name='Forte', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,441 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\couri.ttf', name='Courier New', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,441 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\TCB_____.TTF', name='Tw Cen MT', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
